Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Vendor Qty 1,Vendor Qty 2,Vendor Qty 3,Customer Ref,Price Qty 1,Price Qty 2,Price Qty 3,Vendor Reel Part Num,Vendor Link,Datasheet Link,VID2,Vendor 2 Part Num,Vendor 2 Derivate Part Num,Vendor 2 Price Qty 1,Vendor 2 Link
LD1117AS33,STMicroelectronics,DK,497-1228-1-ND,IC REG LDO 3.3V 1.2A SOT-223,10,100,250,,0.84,0.663,0.5746,497-1228-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-1228-1-ND,http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00002116.pdf,ME,511-LD1117AS33,LD1117AS33TR,0.477,http://at.mouser.com/ProductDetail/STMicroelectronics/LD1117AS33TR/?qs=C3bf%2fVrkE5CoDDd7wyn%252baQ%3d%3d
EVQP7J01K,Panasonic - ECG,DK,P12278SCT-ND,SWITCH LT 3.5MMX2.9MM 160GF SMD,10,100,500,,0.734,0.6163,0.52826,P12278SDKR-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P12278SCT-ND,http://industrial.panasonic.com/www-data/pdf/ATK0000/ATK0000CE20.pdf,,,,,
SN74LVC2T45,Texas Instruments,DK,296-17014-1-ND,"Translator, Bidirectional, 3-State, 2bits",1,25,100,,0.79,0.612,0.54,296-17014-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-17014-1-ND,http://focus.ti.com/lit/ds/symlink/sn74lvc2t45.pdf,ME,595-SN74LVC2T45DCUR,SN74LVC2T45DCUR,0.766,http://at.mouser.com/ProductDetail/Texas-Instruments/SN74LVC2T45DCUR/?qs=0smPjiIwnfIdG9vxyJHBdA%3d%3d
BKP1005HS121-T,Taiyo Yuden,DK,587-1921-1-ND,FERRITE BEAD 120 OHM 0402,10,100,500,,0.2,0.08,0.041,587-1921-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=587-1921-1-ND,http://www.yuden.co.jp/us/product/pdf/ebkp_e.pdf,ME,81-BLM15PD121SN1D,BLM15PD121SN1D,0.107,http://at.mouser.com/ProductDetail/Murata/BLM15PD121SN1D/?qs=sGAEpiMZZMvgExXaNlWje%2fYJEy227vp0QOj%2fvL%252bjfcU%3d
BM06B-SRSS-TB,JST,DK,455-1792-1-ND,CONN HEADER SH 6POS TOP 1MM TIN,10,100,500,,0.66,0.5504,0.4403,455-1792-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1792-1-ND,http://www.jst-mfg.com/product/pdf/eng/eSH.pdf,,,,,
GRM155F51C474ZA01D,Murata Electronics,DK,490-3274-1-ND,CAP CER .47UF 16V Y5V 0402,10,100,500,,0.044,0.026,0.015,490-3274-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=490-3274-1-ND,http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155F51C474ZA01.pdf,,,,,
53261-15,Molex Inc,DK,WM7632CT-ND,CONN HEADER 15POS 1.25MM R/A SMD,10,50,100,,2.199,1.8992,1.6993,WM7632DKR-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM7632CT-ND,http://www.molex.com/pdm_docs/sd/532611571_sd.pdf,ME,538-53261-1571,53261-1571,3.79,http://at.mouser.com/ProductDetail/Molex/53261-1571/?qs=sGAEpiMZZMticT%2fTNjssTkTynroYBL5J
CC0402KRX7R7BB103,Yageo,DK,311-1042-1-ND,CAP 10000PF 16V CERAMIC X7R 0402,10,100,500,,0.011,0.0067,0.00386,311-1042-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1042-1-ND,http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf,ME,810-C1005X7R1C103K,C1005X7R1C103K,0.032,http://at.mouser.com/ProductDetail/TDK/C1005X7R1C103K/?qs=sGAEpiMZZMvQvaS66kI3ToxS7c2J4e237rb4UXwcIBM%3d
C1005Y5V1C224Z,TDK Corporation,DK,445-3444-1-ND,CAP CER .22UF 16V Y5V 0402,10,100,500,,0.03,0.0176,0.01012,445-3444-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3444-1-ND,http://www.tdk.com/pdf/general_A11.pdf,,,,,
C1608Y5V0J475Z,TDK Corporation,DK,445-3449-1-ND,CAP CER 4.7UF 6.3V Y5V 0603,10,100,500,,0.121,0.0715,0.04126,445-3449-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3449-1-ND,http://www.tdk.com/pdf/general_A11.pdf,ME,810-C1608X5R0J475M,C1608X5R0J475M,0.095,http://at.mouser.com/ProductDetail/TDK/C1608X5R0J475M/?qs=sGAEpiMZZMvQvaS66kI3Tt5K2onxAczgRH8Wm%2fmpn2c%3d
CC0402KRX7R9BB471,Yageo,DK,311-1028-1-ND,CAP 470PF 50V CERAMIC X7R 0402,10,100,500,,0.011,0.0067,0.00386,311-1028-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1028-1-ND,http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf,,,,,
TXB0102DCUR,Texas Instruments,DK,296-22862-1-ND,IC VOLT-LVL TRANSL BI-DIR 8-US8,1,25,100,,1.48,1.17,1.053,296-22862-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-22862-1-ND,http://focus.ti.com/lit/ds/symlink/txb0102.pdf,ME,595-TXB0102DCUR,TXB0102DCUR,1.55,http://at.mouser.com/ProductDetail/Texas-Instruments/TXB0102DCUR/?qs=sGAEpiMZZMsty6Jaj0%252bBBsMF3VbNM0929UnYQvFKVv0%3d
MF-FSMF050X-2,Bourns Inc.,DK,MF-FSMF050X-2CT-ND,FUSE PTC RESET 500MA SMD 0603,10,100,500,,0.36,0.33,0.312,MF-FSMF050X-2DKR-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-FSMF050X-2CT-ND,http://www.bourns.com/data/global/pdfs/mffsmf.pdf,ME,652-MFFSMF050X-2,MF-FSMF050X-2,0.448,http://at.mouser.com/ProductDetail/Bourns/MF-FSMF050X-2/?qs=3QkGRBNOvbrZekaW8Gqm4A%3d%3d
MF-FSMF020X-2,Bourns Inc.,DK,MF-FSMF020X-2CT-ND,FUSE PTC RESET 200MA SMD 0603,10,100,500,,0.36,0.33,0.312,MF-FSMF020X-2DKR-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-FSMF020X-2CT-ND,http://www.bourns.com/data/global/pdfs/mffsmf.pdf,ME,652-MFFSMF020X-2,MF-FSMF020X-2,0.448,http://at.mouser.com/ProductDetail/Bourns/MF-FSMF020X-2/?qs=3QkGRBNOvbqaTWjqPUQNsg%3d%3d
C1608Y5V1C225Z,TDK Corporation,DK,445-3451-1-ND,CAP CER 2.2UF 16V Y5V 0603,10,100,500,,0.088,0.052,0.03,445-3451-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3451-1-ND,http://www.tdk.com/pdf/general_A11.pdf,ME,810-C1608Y5V1C225Z,C1608Y5V1C225Z,0.085,http://at.mouser.com/ProductDetail/TDK/C1608Y5V1C225Z/?qs=sGAEpiMZZMvQvaS66kI3Tk6Pvfi1sRGO1Mj%252bJU27Qrg%3d
CC0402JRNP09BN100,Yageo,DK,311-1014-1-ND,CAP CERAMIC 10PF 50V NP0 0402,10,100,500,,0.012,0.007,0.00406,311-1014-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1014-1-ND,http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_6.pdf,ME,581-04023U100JAT2A,04023U100JAT2A,0.032,http://at.mouser.com/ProductDetail/AVX/04023U100JAT2A/?qs=sGAEpiMZZMvQvaS66kI3TihUrlW%252bJjiJUf9DY1cdM5I%3d
RC0402FR-0739K2L,Yageo,DK,311-39.2KLRCT-ND,RES 39.2K OHM 1/16W 1% 0402 SMD,10,50,200,,0.067,0.0362,0.02085,311-39.2KLRDKR-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-39.2KLRCT-ND,http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf,ME,304-39.2K-RC,304-39.2K-RC,0.045,http://at.mouser.com/ProductDetail/Xicon/304-392K-RC/?qs=sGAEpiMZZMtG0KNrPCHnjZ81IsZ41qnEdwGMvS7VK3o%3d
ERJ-2GEJ680X,Panasonic - ECG,DK,P68JCT-ND,RES 68 OHM 1/10W 5% 0402 SMD,1,50,100,,0.05,0.0172,0.0131,P68JDKR-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P68JCT-ND,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GEJ680X+7+WW,,,,,
CC0402ZRY5V7BB104,TDK,ME,810-C1005X7R1C104M,CAP .10UF 16V CERAMIC Y7R 0402,10,100,500,,0.032,0.01,0.009,810-C1005X7R1C104M,http://at.mouser.com/ProductDetail/TDK/C1005X7R1C104M/?qs=sGAEpiMZZMvQvaS66kI3Ts8kcYAvnUrc2X3P8fTRlAY%3d,http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf,,,,,
SM06B-SRSS-TB,JST,DK,455-1806-1-ND,CONN HEADER SH 6POS SIDE 1MM TIN,10,100,500,,0.653,0.5445,0.4356,455-1806-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1806-1-ND,http://www.jst-mfg.com/product/pdf/eng/eSH.pdf
ABM3B-8.000MHZ-10-1-U-T,Abracon Corporation,DK,535-9721-1-ND,CRYSTAL 8.000 MHZ 10PF SMD,10,50,100,,2.048,1.7956,1.4175,535-9721-6-ND,http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=535-9721-1-ND,http://www.abracon.com/Resonators/abm3b.pdf,ME,815-ABM3B-8.0-B2-T,ABM3B-8.000MHZ-B2-T,1.01,http://at.mouser.com/ProductDetail/ABRACON/ABM3B-8000MHZ-B2-T/?qs=NE97hfUNX0Ef9OqIOqO2cA%3d%3d
